Token;Tag
07/12/2018;O
PRIMEIRA;O
TURMA;O
"
";O
"
";O
AG;O
.;O
REG;O
.;O
NA;O
PETIÇÃO;O
7.168;O
DISTRITO;O
FEDERAL;O
"
";O
"
";O
RELATORA;O
:;O
MIN;B_Pessoa
.;I_Pessoa
ROSA;I_Pessoa
WEBERAGTE;O
.;O
(;O
S;O
);O
:;O
ELCIONE;B_Pessoa
THEREZINHA;I_Pessoa
ZAHLUTH;I_Pessoa
BARBALHO;I_Pessoa
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
ANTONIO;B_Pessoa
REIS;I_Pessoa
GRAIM;I_Pessoa
NETO;I_Pessoa
AGDO;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
WLADIMIR;B_Pessoa
AFONSO;I_Pessoa
DA;I_Pessoa
COSTA;I_Pessoa
RABELO;I_Pessoa
PROC;O
.;O
(;O
A;O
/;O
S;O
);O
(;O
ES;O
);O
:;O
DEFENSOR;O
PÚBLICO;O
-;O
GERAL;O
FEDERAL;O
"
";O
"
";O
EMENTA;O
"
";O
"
";O
AGRAVO;O
REGIMENTAL;O
CONTRA;O
DECISÃO;O
MONOCRÁTICA;O
QUE;O
NEGOU;O
SEGUIMENTO;O
A;O
QUEIXA;O
CRIME;O
.;O
CRIMES;O
CONTRA;O
A;O
HONRA;O
.;O
OFENSAS;O
PROFERIDAS;O
EM;O
ENTREVISTA;O
RADIOFÔNICA;O
POR;O
PARLAMENTAR;O
FEDERAL;O
.;O
CALÚNIA;O
.;O
AUSÊNCIA;O
DE;O
NARRATIVA;O
FATÍCA;O
ESPECÍFICA;O
.;O
DIFAMAÇÃO;O
.;O
INJÚRIA;O
.;O
OFENSAS;O
GENÉRICAS;O
.;O
ATIPICIDADE;O
.;O
CRIMES;O
NÃO;O
CARACTERIZADOS;O
.;O
REJEIÇÃO;O
DE;O
QUEIXA;O
CRIME;O
POR;O
DECISÃO;O
MONOCRÁTICA;O
.;O
POSSIBILIDADE;O
.;O
"
";O
"
";O
1;O
.;O
O;O
crime;O
de;O
calúnia;O
exige;O
narrativa;O
de;O
fato;O
determinado;O
direcionada;O
a;O
pessoa;O
determinada;O
.;O
"
";O
"
";O
2;O
.;O
Opiniões;O
ou;O
conceitos;O
genéricos;O
,;O
ainda;O
que;O
ofensivos;O
,;O
expressos;O
por;O
narrador;O
não;O
