Token;Tag
LTDA;O
"
";O
"
";O
DECISÃO;O
:;O
"
";O
"
";O
Vistos;O
.;O
"
";O
"
";O
Cuida;O
-;O
se;O
de;O
reclamação;O
constitucional;O
eletrônica;O
,;O
com;O
pedido;O
de;O
liminar;O
,;O
ajuizada;O
pelo;O
ESTADO;O
DE;O
MINAS;O
GERAIS;O
em;O
face;O
do;O
TRIBUNAL;O
REGIONAL;O
DO;O
TRABALHO;O
DA;O
3ª;O
REGIÃO;O
,;O
nos;O
autos;O
da;O
reclamação;B_Precedente
trabalhista;I_Precedente
nº;I_Precedente
00573-2010-050-03-00-3;I_Precedente
,;I_Precedente
cuja;O
decisão;O
teria;O
afrontado;O
a;O
autoridade;O
do;O
Supremo;O
Tribunal;O
Federal;O
e;O
a;O
eficácia;O
da;O
decisão;O
proferida;O
na;O
ADC;I_Precedente
nº;I_Precedente
16;I_Precedente
/;I_Precedente
DF;I_Precedente
,;I_Precedente
bem;O
assim;O
negado;O
aplicação;O
à;O
Súmula;B_Precedente
Vinculante;I_Precedente
nº;I_Precedente
10;I_Precedente
.;I_Precedente
"
";O
"
";O
Na;O
peça;O
vestibular;O
,;O
o;O
reclamante;O
sustenta;O
:;O
a;O
);O
“A;O
r;O
.;O
juíza;O
do;O
trabalho;O
de;O
primeira;O
instância;O
entendeu;O
por;O
bem;O
deferir;O
a;O
pretensão;O
do;O
autora;O
,;O
condenando;O
o;O
Estado;O
de;O
Minas;O
Gerais;O
subsidiariamente;O
ao;O
pagamento;O
dos;O
créditos;O
trabalhistas;O
pleiteado;O
.;O
Assim;O
o;O
fez;O
com;O
base;O
na;O
Súmula;B_Precedente
331;I_Precedente
do;I_Precedente
TST;I_Precedente
.;I_Precedente
"”;";O
b;O
);O
“;O
(;O
…;O
);O
o;O
excelentíssimo;O
desembargador;O
do;O
Tribunal;O
Regional;O
da;O
Terceira;O
Região;O
(;O
.;O
.;O
.;O
);O
,;O
resolveu;O
manter;O
a;O
decisão;O
de;O
primeira;O
instância;O
,;O
no;O
que;O
tange;O
a;O
responsabilização;O
subsidiária;O
do;O
ente;O
público;O
.;O
Ressaltou;O
legalidade;O
da;O
referida;O
Súmula;B_Precedente
331;I_Precedente
do;I_Precedente
TST;I_Precedente
,;I_Precedente
esclarecendo;O
que;O
o;O
artigo;B_Ref. Legislativa
71;I_Ref. Legislativa
da;I_Ref. Legislativa
Lei;I_Ref. Legislativa
8.666/93;I_Ref. Legislativa
não;O
exclui;O
referida;O
responsabilização;O
.;O
"”;";O
c;O
);O
o;O
§;B_Ref. Legislativa
1º;I_Ref. Legislativa
do;I_Ref. Legislativa
art;I_Ref. Legislativa
.;I_Ref. Legislativa
71;I_Ref. Legislativa
da;I_Ref. Legislativa
Lei;I_Ref. Legislativa
nº;I_Ref. Legislativa
8.666/93;I_Ref. Legislativa
foi;O
objeto;O
de;O
análise;O
pelo;O
STF;O
em;O
sede;O
de;O
ação;O
do;O
controle;O
concentrado;O
de;O
constitucionalidade;O
,;O
tendo;O
sido;O
declarado;O
constitucional;O
na;O
ADC;B_Precedente
nº;I_Precedente
16;I_Precedente
/;I_Precedente
"DF;";I_Precedente
d;O
);O
“o;O
Regional;O
não;O
observou;O
o;O
mencionado;O
decisium;O
ao;O
julgar;O
a;O
reclamação;O
trabalhista;O
impugnada;O
,;O
pois;O
apenas;O
deduziu;O
/;O
inferiu;O
a;O
existência;O
de;O
culpa;O
in;O
eligendo;O
e;O
in;O
vigilando;O
por;O
parte;O
do;O
ente;O
estatal;O
ao;O
singelo;O
fundamento;O
desta;O
não;O
ter;O
comprovado;O
a;O
fiscalização;O
do;O
cumprimento;O
dos;O
direitos;O
trabalhistas;O
por;O
parte;O
do;O
contratado;O
(;O
.;O
.;O
.;O
);O
”;O
.;O
"
";O
"
";O
Requer;O
a;O
concessão;O
de;O
medida;O
liminar;O
para;O
“determinar;O
a;O
suspensão;O
imediata;O
da;O
decisão;O
proferida;O
pela;O
Quinta;O
Turma;O
do;O
Tribunal;O
Regional;O
do;O
Trabalho;O
da;O
Terceira;O
Região;O
,;O
nos;O
autos;O
da;O
reclamação;B_Precedente
trabalhista;I_Precedente
nº;I_Precedente
00573-2010-050-03-00-3”;I_Precedente
.;O
No;O
mérito;O
,;O
requer;O
seja;O
julgada;O
procedente;O
a;O
presente;O
reclamação;O
,;O
declarando;O
-;O
se;O
a;O
nulidade;O
do;O
acórdão;O
reclamado;O
.;O
"
";O
"
";O
É;O
o;O
relatório;O
.;O
"
";O
"
";O
O;O
reclamante;O
sustenta;O
a;O
contrariedade;O
à;O
eficácia;O
da;O
Súmula;B_Precedente
"
";I_Precedente
"
";I_Precedente
Vinculante;I_Precedente
nº;I_Precedente
10;I_Precedente
,;I_Precedente
assim;O
redigida;O
:;O
"
";O
"
";O
“Viola;O
a;O
cláusula;O
de;O
reserva;O
de;O
plenário;O
(;O
CF;B_Ref. Legislativa
,;I_Ref. Legislativa
artigo;I_Ref. Legislativa
97;I_Ref. Legislativa
);I_Ref. Legislativa
a;O
decisão;O
de;O
órgão;O
fracionário;O
de;O
tribunal;O
que;O
,;O
embora;O
não;O
declare;O
expressamente;O
a;O
inconstitucionalidade;O
de;O
lei;O
ou;O
ato;O
normativo;O
do;O
poder;O
público;O
,;O
afasta;O
sua;O
incidência;O
,;O
no;O
todo;O
ou;O
em;O
parte;O
.;O
”;O
"
";O
"
";O
Aponta;O
também;O
como;O
paradigma;O
de;O
confronto;O
na;O
presente;O
reclamação;O
a;O
decisão;O
proferida;O
no;O
julgamento;O
da;O
ADC;B_Precedente
nº;I_Precedente
16;I_Precedente
/;I_Precedente
DF;I_Precedente
,;I_Precedente
cuja;O
ementada;O
restou;O
assim;O
redigida;O
:;O
"
";O
"
";O
“RESPONSABILIDADE;O
CONTRATUAL;O
.;O
Subsidiária;O
.;O
"
";O
"
";O
Contrato;O
com;O
a;O
administração;O
pública;O
.;O
Inadimplência;O
negocial;O
do;O
outro;O
contraente;O
.;O
Transferência;O
consequente;O
e;O
automática;O
dos;O
seus;O
encargos;O
trabalhistas;O
,;O
fiscais;O
e;O
comerciais;O
,;O
resultantes;O
da;O
execução;O
do;O
contrato;O
,;O
à;O
administração;O
.;O
Impossibilidade;O
jurídica;O
.;O
Consequência;O
proibida;O
pelo;O
art;I_Ref. Legislativa
.;I_Ref. Legislativa
,;I_Ref. Legislativa
71;I_Ref. Legislativa
,;I_Ref. Legislativa
§;I_Ref. Legislativa
1º;I_Ref. Legislativa
,;I_Ref. Legislativa
da;I_Ref. Legislativa
Lei;I_Ref. Legislativa
federal;I_Ref. Legislativa
nº;I_Ref. Legislativa
8.666/93;I_Ref. Legislativa
.;I_Ref. Legislativa
Constitucionalidade;O
reconhecida;O
dessa;O
norma;O
.;O
Ação;O
direta;O
de;O
constitucionalidade;O
julgada;O
,;O
nesse;O
sentido;O
,;O
procedente;O
.;O
Voto;O
vencido;O
.;O
É;O
constitucional;O
a;O
norma;O
inscrita;O
no;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
71;I_Ref. Legislativa
,;I_Ref. Legislativa
§;I_Ref. Legislativa
1º;I_Ref. Legislativa
,;I_Ref. Legislativa
da;I_Ref. Legislativa
Lei;I_Ref. Legislativa
federal;I_Ref. Legislativa
nº;I_Ref. Legislativa
8.666;I_Ref. Legislativa
,;I_Ref. Legislativa
de;I_Ref. Legislativa
26;I_Ref. Legislativa
de;I_Ref. Legislativa
junho;I_Ref. Legislativa
de;I_Ref. Legislativa
1993;I_Ref. Legislativa
,;I_Ref. Legislativa
com;O
a;O
redação;O
dada;O
pela;O
Lei;B_Ref. Legislativa
nº;I_Ref. Legislativa
9.032;I_Ref. Legislativa
,;I_Ref. Legislativa
de;I_Ref. Legislativa
1995”;I_Ref. Legislativa
(;O
ADC;B_Precedente
nº;I_Precedente
16;I_Precedente
/;I_Precedente
DF;I_Precedente
,;I_Precedente
Relator;I_Precedente
o;I_Precedente
Ministro;I_Precedente
Cezar;I_Precedente
Peluso;I_Precedente
,;I_Precedente
Tribunal;I_Precedente
Pleno;I_Precedente
,;I_Precedente
DJE;I_Precedente
de;I_Precedente
9/9/2011;I_Precedente
);I_Precedente
.;O
"
";O
"
";O
A;O
decisão;O
reclamada;O
foi;O
proferida;O
pela;O
5ª;O
Turma;O
do;O
Tribunal;O
Regional;O
do;O
Trabalho;O
da;O
3ª;O
Região;O
no;O
sentido;O
do;O
reconhecimento;O
da;O
responsabilidade;O
subsidiária;O
do;O
ente;O
público;O
,;O
pelos;O
seguintes;O
fundamentos;O
:;O
"
";O
"
";O
“;O
(;O
.;O
.;O
.;O
);O
Destarte;O
,;O
o;O
recorrente;O
detinha;O
,;O
ao;O
longo;O
de;O
seu;O
contrato;O
com;O
a;O
1ª;O
reclamada;O
,;O
mecanismos;O
para;O
se;O
proteger;O
de;O
uma;O
eventual;O
condenação;O
trabalhista;O
,;O
como;O
,;O
por;O
exemplo;O
,;O
exigir;O
as;O
prestações;O
de;O
conta;O
mensalmente;O
,;O
antes;O
de;O
pagar;O
as;O
faturas;O
e;O
reter;O
a;O
verba;O
,;O
caso;O
não;O
comprovado;O
o;O
cumprimento;O
das;O
obrigações;O
.;O
Observa;O
-;O
se;O
que;O
o;O
tomador;O
estava;O
ciente;O
de;O
que;O
os;O
contratos;O
de;O
trabalho;O
com;O
os;O
empregados;O
da;O
Higiterc;O
estavam;O
por;O
terminar;O
,;O
o;O
que;O
inclui;O
o;O
da;O
reclamante;O
,;O
já;O
em;O
11.2.10;O
,;O
segundo;O
se;O
depreende;O
do;O
documento;O
de;O
fl;O
.;O
15;O
.;O
Mesmo;O
assim;O
,;O
não;O
reteve;O
o;O
pagamento;O
até;O
verificar;O
o;O
acerto;O
das;O
respectivas;O
quitações;O
.;O
Nem;O
se;O
diga;O
que;O
ao;O
saber;O
de;O
