Token;Tag
1;O
.;O
A;O
repercussão;O
geral;O
pressupõe;O
recurso;O
admissível;O
sob;O
o;O
crivo;O
dos;O
demais;O
requisitos;O
constitucionais;O
e;O
processuais;O
de;O
admissibilidade;O
(;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
323;I_Ref. Legislativa
do;I_Ref. Legislativa
RISTF;I_Ref. Legislativa
);I_Ref. Legislativa
.;O
Consectariamente;O
,;O
se;O
inexiste;O
questão;O
constitucional;O
,;O
não;O
há;O
como;O
se;O
pretender;O
seja;O
reconhecida;O
a;O
repercussão;O
geral;O
das;O
questões;O
constitucionais;O
discutidas;O
no;O
caso;O
(;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
102;I_Ref. Legislativa
,;I_Ref. Legislativa
III;I_Ref. Legislativa
,;I_Ref. Legislativa
§;I_Ref. Legislativa
3º;I_Ref. Legislativa
,;I_Ref. Legislativa
da;I_Ref. Legislativa
CF;I_Ref. Legislativa
.;I_Ref. Legislativa
"
";O
"
";O
2;O
.;O
O;O
prequestionamento;O
explícito;O
da;O
questão;O
constitucional;O
é;O
requisito;O
indispensável;O
à;O
admissão;O
do;O
recurso;O
extraordinário;O
.;O
"
";O
"
";O
3;O
.;O
As;O
Súmulas;B_Precedente
282;I_Precedente
e;I_Precedente
356;I_Precedente
do;I_Precedente
STF;I_Precedente
dispõem;O
respectivamente;O
,;O
verbis;O
:;O
“É;O
inadmissível;O
o;O
recurso;O
extraordinário;O
,;O
quando;O
não;O
ventilada;O
,;O
na;O
decisão;O
recorrida;O
,;O
a;O
questão;O
federal;O
suscitada”;O
e;O
“O;O
ponto;O
omisso;O
da;O
decisão;O
,;O
sobre;O
o;O
qual;O
não;O
foram;O
opostos;O
embargos;O
declaratórios;O
,;O
não;O
pode;O
ser;O
objeto;O
de;O
recurso;O
extraordinário;O
,;O
por;O
faltar;O
o;O
requisito;O
do;O
prequestionamento;O
.;O
”;O
"
";O
"
";O
4;O
.;O
A;O
violação;O
reflexa;O
e;O
oblíqua;O
da;O
Constituição;O
Federal;O
decorrente;O
da;O
necessidade;O
de;O
análise;O
de;O
malferimento;O
de;O
dispositivo;O
infraconstitucional;O
torna;O
inadmissível;O
o;O
recurso;O
extraordinário;O
.;O
Precedentes;O
:;O
RE;B_Precedente
596.682;I_Precedente
Rel;I_Precedente
.;I_Precedente
Min;I_Precedente
.;I_Precedente
Carlos;I_Precedente
Britto;I_Precedente
,;I_Precedente
Dje;I_Precedente
de;I_Precedente
21/10/10;I_Precedente
,;I_Precedente
e;O
o;O
AI;B_Precedente
808.361;I_Precedente
,;I_Precedente
Rel;I_Precedente
.;I_Precedente
Min;I_Precedente
.;I_Precedente
Marco;I_Precedente
Aurélio;I_Precedente
,;I_Precedente
Dje;I_Precedente
de;I_Precedente
08/09/10;I_Precedente
.;I_Precedente
"
";O
"
";O
5;O
.;O
A;O
Súmula;B_Precedente
279;I_Precedente
/;I_Precedente
STF;I_Precedente
dispõe;O
,;O
verbis;O
:;O
“Para;O
simples;O
reexame;O
de;O
prova;O
não;O
cabe;O
recurso;O
extraordinário”;O
.;O
"
";O
"
";O
6;O
.;O
É;O
que;O
o;O
recurso;O
extraordinário;O
não;O
se;O
presta;O
ao;O
exame;O
de;O
questões;O
que;O
demandam;O
revolvimento;O
do;O
contexto;O
fático;O
-;O
probatório;O
dos;O
autos;O
,;O
adstringindo;O
-;O
se;O
à;O
análise;O
da;O
violação;O
direta;O
da;O
ordem;O
constitucional;O
.;O
"
";O
"
";O
7;O
.;O
In;O
casu;O
,;O
o;O
órgão;O
a;O
quo;O
pronunciou;O
-;O
se;O
à;O
luz;O
do;O
contexto;O
fático;O
-;O
probatório;O
engendrado;O
nos;O
autos;O
,;O
consoante;O
se;O
infere;O
da;O
ementa;O
do;O
acórdão;O
proferido;O
.;O
"
";O
"
";O
8;O
.;O
NEGO;O
SEGUIMENTO;O
ao;O
agravo;O
de;O
instrumento;O
.;O
"
";O
"
";O
Decisão;O
:;O
Trata;O
-;O
se;O
de;O
agravo;O
nos;O
próprios;O
autos;O
interposto;O
por;O
WALTER;B_Pessoa
VITAL;I_Pessoa
DE;I_Pessoa
JESUS;I_Pessoa
,;I_Pessoa
com;O
objetivo;O
de;O
ver;O
reformada;O
a;O
r;O
.;O
decisão;O
de;O
fls;O
.;O
123/124;O
,;O
que;O
inadmitiu;O
seu;O
recurso;O
extraordinário;O
manejado;O
com;O
arrimo;O
na;O
alínea;O
a;O
do;O
artigo;B_Ref. Legislativa
102;I_Ref. Legislativa
da;I_Ref. Legislativa
Constituição;I_Ref. Legislativa
Federal;I_Ref. Legislativa
,;I_Ref. Legislativa
contra;O
acórdão;O
prolatado;O
pelo;O
Colégio;O
Recursal;O
Cível;O
de;O
São;O
Paulo;O
(;O
fls;O
.;O
88/90;O
);O
.;O
"
";O
"
";O
Não;O
foram;O
opostos;O
embargos;O
de;O
declaração;O
.;O
"
";O
"
";O
Nas;O
razões;O
do;O
apelo;O
extremo;O
,;O
sustenta;O
a;O
preliminar;O
de;O
repercussão;O
geral;O
e;O
,;O
no;O
mérito;O
,;O
alega;O
violação;O
ao;O
artigo;B_Ref. Legislativa
5º;I_Ref. Legislativa
,;I_Ref. Legislativa
V;I_Ref. Legislativa
,;I_Ref. Legislativa
LXXIV;I_Ref. Legislativa
,;I_Ref. Legislativa
da;I_Ref. Legislativa
Constituição;I_Ref. Legislativa
Federal;I_Ref. Legislativa
.;I_Ref. Legislativa
"
";O
"
";O
O;O
Tribunal;O
a;O
quo;O
negou;O
seguimento;O
ao;O
apelo;O
extremo;O
,;O
por;O
entender;O
que;O
os;O
argumentos;O
expendidos;O
não;O
são;O
suficientes;O
para;O
informar;O
as;O
conclusões;O
do;O
v;O
.;O
Aresto;O
combatido;O
"
";O
"
";O
É;O
o;O
Relatório;O
.;O
DECIDO;O
.;O
"
";O
"
";O
Ab;O
initio;O
,;O
a;O
repercussão;O
geral;O
pressupõe;O
recurso;O
admissível;O
sob;O
o;O
crivo;O
dos;O
demais;O
requisitos;O
constitucionais;O
e;O
processuais;O
de;O
admissibilidade;O
(;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
323;I_Ref. Legislativa
do;I_Ref. Legislativa
RISTF;I_Ref. Legislativa
);I_Ref. Legislativa
.;O
Consectariamente;O
,;O
se;O
inexiste;O
questão;O
constitucional;O
,;O
não;O
há;O
como;O
se;O
pretender;O
seja;O
reconhecida;O
a;O
repercussão;O
geral;O
das;O
questões;O
constitucionais;O
discutidas;O
no;O
caso;O
(;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
102;I_Ref. Legislativa
,;I_Ref. Legislativa
III;I_Ref. Legislativa
,;I_Ref. Legislativa
§;I_Ref. Legislativa
3º;I_Ref. Legislativa
,;I_Ref. Legislativa
da;I_Ref. Legislativa
CF;I_Ref. Legislativa
);I_Ref. Legislativa
.;O
"
";O
"
";O
Quanto;O
ao;O
mérito;O
,;O
melhor;O
sorte;O
não;O
socorre;O
ao;O
agravante;O
.;O
"
";O
"
";O
Verifica;O
-;O
se;O
,;O
na;O
espécie;O
,;O
que;O
o;O
artigo;O
da;O
Constituição;O
Federal;O
que;O
o;O
agravante;O
considera;O
violado;O
não;O
foi;O
debatido;O
no;O
acórdão;O
recorrido;O
.;O
Além;O
disso;O
,;O
não;O
foram;O
opostos;O
embargos;O
de;O
declaração;O
para;O
sanar;O
eventual;O
omissão;O
,;O
faltando;O
,;O
ao;O
caso;O
,;O
o;O
necessário;O
prequestionamento;O
da;O
questão;O
constitucional;O
,;O
que;O
deve;O
ser;O
explícito;O
,;O
o;O
que;O
inviabiliza;O
a;O
pretensão;O
de;O
exame;O
do;O
recurso;O
extraordinário;O
.;O
Incide;O
,;O
portanto;O
,;O
o;O
óbice;O
das;O
Súmulas;B_Precedente
282;I_Precedente
e;I_Precedente
356;I_Precedente
do;I_Precedente
STF;I_Precedente
,;I_Precedente
verbis;O
:;O
“É;O
inadmissível;O
o;O
recurso;O
extraordinário;O
,;O
quando;O
não;O
ventilada;O
,;O
na;O
decisão;O
recorrida;O
,;O
a;O
questão;O
federal;O
suscitada;O
.;O
”;O
e;O
“O;O
ponto;O
omisso;O
da;O
decisão;O
,;O
sobre;O
o;O
qual;O
não;O
foram;O
opostos;O
embargos;O
declaratórios;O
,;O
não;O
pode;O
ser;O
objeto;O
de;O
recurso;O
extraordinário;O
,;O
por;O
faltar;O
o;O
requisito;O
do;O
prequestionamento;O
.;O
”;O
"
";O
"
";O
A;O
respeito;O
da;O
aplicação;O
das;O
referidas;O
súmulas;O
assim;O
discorre;O
Roberto;O
Rosas;O
:;O
"
";O
"
";O
“A;O
Constituição;B_Ref. Legislativa
de;I_Ref. Legislativa
1891;I_Ref. Legislativa
,;I_Ref. Legislativa
no;I_Ref. Legislativa
art;I_Ref. Legislativa
.;I_Ref. Legislativa
59;I_Ref. Legislativa
,;I_Ref. Legislativa
III;I_Ref. Legislativa
,;I_Ref. Legislativa
a;I_Ref. Legislativa
,;I_Ref. Legislativa
dizia;O
:;O
'quando;O
se;O
questionar;O
sobre;O
a;O
validade;O
de;O
leis;O
ou;O
aplicação;O
de;O
tratados;O
e;O
leis;O
federais;O
,;O
e;O
a;O
decisão;O
for;O
contra;O
ela';O
.;O
"
";O
"
";O
De;O
forma;O
idêntica;O
dispôs;O
a;O
Constituição;B_Ref. Legislativa
de;I_Ref. Legislativa
1934;I_Ref. Legislativa
,;I_Ref. Legislativa
no;I_Ref. Legislativa
art;I_Ref. Legislativa
.;I_Ref. Legislativa
76;I_Ref. Legislativa
,;I_Ref. Legislativa
III;I_Ref. Legislativa
,;I_Ref. Legislativa
